raw_text,model_input,text,transformer_text,label,target,userLang,language_name,app_name,review_date
Very good,lang_en Very good,lang_en very good,Very good,positive,2,EN,English,Telegram,2023-09-19 13:25:30
Ok,lang_en Ok,lang_en ok,Ok,positive,2,EN,English,Telegram,2023-09-19 13:25:20
Nice app,lang_en Nice app,lang_en nice app,Nice app,positive,2,EN,English,Telegram,2023-09-19 13:22:53
میگه که به 500 تا کانال و گروه عضو هستی و به سقف مجاز رسیدی ولی اینطور نیست و هیچ کانال و گروهی ندارم که عضو باشم توش لطفا بررسی کنید و بگید چیکار باید کرد ممنون!,lang_en میگه که به 500 تا کانال و گروه عضو هستی و به سقف مجاز رسیدی ولی اینطور نیست و هیچ کانال و گروهی ندارم که عضو باشم توش لطفا بررسی کنید و بگید چیکار باید کرد ممنون!,lang_en میگه که به 500 تا کانال و گروه عضو هستی و به سقف مجاز رسیدی ولی اینطور نیست و هیچ کانال و گروهی ندارم که عضو باشم توش لطفا بررسی کنید و بگید چیکار باید کرد ممنون!,میگه که به 500 تا کانال و گروه عضو هستی و به سقف مجاز رسیدی ولی اینطور نیست و هیچ کانال و گروهی ندارم که عضو باشم توش لطفا بررسی کنید و بگید چیکار باید کرد ممنون!,neutral,1,EN,English,Telegram,2023-09-19 13:22:29
nice,lang_en nice,lang_en nice,nice,positive,2,EN,English,Telegram,2023-09-19 13:20:32
It's a good app,lang_en It's a good app,lang_en it's a good app,It's a good app,positive,2,EN,English,Telegram,2023-09-19 13:19:00
VERY GOOD,lang_en VERY GOOD,lang_en very good,VERY GOOD,positive,2,EN,English,Telegram,2023-09-19 13:16:40
Hein Soe that,lang_en Hein Soe that,lang_en hein soe that,Hein Soe that,negative,0,EN,English,Telegram,2023-09-19 13:13:29
Nice,lang_en Nice,lang_en nice,Nice,positive,2,EN,English,Telegram,2023-09-19 13:09:55
"Sometimes, when I want to open any chat, whether private chat,group, or channel information, I couldn't see any message even though I got notification. Please repair back the app for normal because it has been harder for me to use on education study. It's really tiring for me to uninstall this app and redownload back.","lang_en Sometimes, when I want to open any chat, whether private chat,group, or channel information, I couldn't see any message even though I got notification. Please repair back the app for normal because it has been harder for me to use on education study. It's really tiring for me to uninstall this app and redownload back.","lang_en sometimes, when i want to open any chat, whether private chat,group, or channel information, i couldn't see any message even though i got notification. please repair back the app for normal because it has been harder for me to use on education study. it's really tiring for me to uninstall this app and redownload back.","Sometimes, when I want to open any chat, whether private chat,group, or channel information, I couldn't see any message even though I got notification. Please repair back the app for normal because it has been harder for me to use on education study. It's really tiring for me to uninstall this app and redownload back.",negative,0,EN,English,Telegram,2023-09-19 13:08:46
This App is Maranam maasu maranam,lang_en This App is Maranam maasu maranam,lang_en this app is maranam maasu maranam,This App is Maranam maasu maranam,positive,2,EN,English,Telegram,2023-09-19 13:07:43
verify code not arriving.,lang_en verify code not arriving.,lang_en verify code not arriving.,verify code not arriving.,negative,0,EN,English,Telegram,2023-09-19 13:06:18
Unfortunately Female Pikachu are not wanted on this app. All I get is horrible messages from people I do not know telling me im a pedo because I only post female yiff (yea thats right). Telegram is full of sexist pigs.,lang_en Unfortunately Female Pikachu are not wanted on this app. All I get is horrible messages from people I do not know telling me im a pedo because I only post female yiff (yea thats right). Telegram is full of sexist pigs.,lang_en unfortunately female pikachu are not wanted on this app. all i get is horrible messages from people i do not know telling me im a pedo because i only post female yiff (yea thats right). telegram is full of sexist pigs.,Unfortunately Female Pikachu are not wanted on this app. All I get is horrible messages from people I do not know telling me im a pedo because I only post female yiff (yea thats right). Telegram is full of sexist pigs.,negative,0,EN,English,Telegram,2023-09-19 13:02:57
Op bro ❤️🤪,lang_en Op bro ❤️🤪,lang_en op bro ❤️🤪,Op bro ❤️🤪,positive,2,EN,English,Telegram,2023-09-19 13:00:38
Veriy very good aap,lang_en Veriy very good aap,lang_en veriy very good aap,Veriy very good aap,positive,2,EN,English,Telegram,2023-09-19 12:56:38
"I love all the features. Excellent app. You have everything you want like: status,privacy,locked app and more For me I like the app","lang_en I love all the features. Excellent app. You have everything you want like: status,privacy,locked app and more For me I like the app","lang_en i love all the features. excellent app. you have everything you want like: status,privacy,locked app and more for me i like the app","I love all the features. Excellent app. You have everything you want like: status,privacy,locked app and more For me I like the app",positive,2,EN,English,Telegram,2023-09-19 12:56:35
Zenemulgeta,lang_en Zenemulgeta,lang_en zenemulgeta,Zenemulgeta,negative,0,EN,English,Telegram,2023-09-19 12:44:47
Sir please delete app because there Abundance of scammer and fraud with many people and than blocked them,lang_en Sir please delete app because there Abundance of scammer and fraud with many people and than blocked them,lang_en sir please delete app because there abundance of scammer and fraud with many people and than blocked them,Sir please delete app because there Abundance of scammer and fraud with many people and than blocked them,neutral,1,EN,English,Telegram,2023-09-19 12:43:48
Annoying advertisment,lang_en Annoying advertisment,lang_en annoying advertisment,Annoying advertisment,negative,0,EN,English,Telegram,2023-09-19 12:41:24
Don't do business on telegram all people do is rip you off,lang_en Don't do business on telegram all people do is rip you off,lang_en don't do business on telegram all people do is rip you off,Don't do business on telegram all people do is rip you off,negative,0,EN,English,Telegram,2023-09-19 12:39:46
👌👌👌👌👌,lang_en 👌👌👌👌👌,lang_en 👌👌👌👌👌,👌👌👌👌👌,positive,2,EN,English,Telegram,2023-09-19 12:39:01
مفيد كثير للدراسة وكثير آمن,lang_en مفيد كثير للدراسة وكثير آمن,lang_en مفيد كثير للدراسة وكثير آمن,مفيد كثير للدراسة وكثير آمن,positive,2,EN,English,Telegram,2023-09-19 12:34:45
Very good,lang_en Very good,lang_en very good,Very good,positive,2,EN,English,Telegram,2023-09-19 12:32:13
Wonder ful app,lang_en Wonder ful app,lang_en wonder ful app,Wonder ful app,positive,2,EN,English,Telegram,2023-09-19 12:19:51
Recently there is too many ads to buy telegram premium.It actually starts being annoying,lang_en Recently there is too many ads to buy telegram premium.It actually starts being annoying,lang_en recently there is too many ads to buy telegram premium.it actually starts being annoying,Recently there is too many ads to buy telegram premium.It actually starts being annoying,negative,0,EN,English,Telegram,2023-09-19 12:19:51
Nice,lang_en Nice,lang_en nice,Nice,positive,2,EN,English,Telegram,2023-09-19 12:19:11
Jj,lang_en Jj,lang_en jj,Jj,positive,2,EN,English,Telegram,2023-09-19 12:17:15
Good,lang_en Good,lang_en good,Good,positive,2,EN,English,Telegram,2023-09-19 12:14:39
👎,lang_en 👎,lang_en 👎,👎,negative,0,EN,English,Telegram,2023-09-19 12:13:09
"Why i am can't sign in "" unable to send SMS""","lang_en Why i am can't sign in "" unable to send SMS""","lang_en why i am can't sign in "" unable to send sms""","Why i am can't sign in "" unable to send SMS""",negative,0,EN,English,Telegram,2023-09-19 12:12:55
Why don’t send me account login code??,lang_en Why don’t send me account login code??,lang_en why don’t send me account login code??,Why don’t send me account login code??,negative,0,EN,English,Telegram,2023-09-19 12:10:14
Yet to understand the app,lang_en Yet to understand the app,lang_en yet to understand the app,Yet to understand the app,positive,2,EN,English,Telegram,2023-09-19 12:09:09
Suka tertutup sendiri stresss aku babi,lang_en Suka tertutup sendiri stresss aku babi,lang_en suka tertutup sendiri stresss aku babi,Suka tertutup sendiri stresss aku babi,negative,0,EN,English,Telegram,2023-09-19 12:08:35
Beat app,lang_en Beat app,lang_en beat app,Beat app,positive,2,EN,English,Telegram,2023-09-19 12:08:12
My acct was hacked 3 times,lang_en My acct was hacked 3 times,lang_en my acct was hacked 3 times,My acct was hacked 3 times,negative,0,EN,English,Telegram,2023-09-19 12:03:55
Telegram is a really good app and I love using it,lang_en Telegram is a really good app and I love using it,lang_en telegram is a really good app and i love using it,Telegram is a really good app and I love using it,positive,2,EN,English,Telegram,2023-09-19 12:03:52
Faltu service,lang_en Faltu service,lang_en faltu service,Faltu service,negative,0,EN,English,Telegram,2023-09-19 12:02:18
"This program automatically deleted my user accounts. I even sent an email, but it was not followed up. tell me something","lang_en This program automatically deleted my user accounts. I even sent an email, but it was not followed up. tell me something","lang_en this program automatically deleted my user accounts. i even sent an email, but it was not followed up. tell me something","This program automatically deleted my user accounts. I even sent an email, but it was not followed up. tell me something",negative,0,EN,English,Telegram,2023-09-19 11:55:56
VERY GOOD,lang_en VERY GOOD,lang_en very good,VERY GOOD,positive,2,EN,English,Telegram,2023-09-19 11:52:45
very good,lang_en very good,lang_en very good,very good,positive,2,EN,English,Telegram,2023-09-19 11:52:33
best,lang_en best,lang_en best,best,negative,0,EN,English,Telegram,2023-09-19 11:52:22
I wi give it zero ranking,lang_en I wi give it zero ranking,lang_en i wi give it zero ranking,I wi give it zero ranking,negative,0,EN,English,Telegram,2023-09-19 11:50:30
Worst experience ever...,lang_en Worst experience ever...,lang_en worst experience ever...,Worst experience ever...,negative,0,EN,English,Telegram,2023-09-19 11:45:54
Best app for secure messaging,lang_en Best app for secure messaging,lang_en best app for secure messaging,Best app for secure messaging,positive,2,EN,English,Telegram,2023-09-19 11:41:04
A hub for scammers,lang_en A hub for scammers,lang_en a hub for scammers,A hub for scammers,negative,0,EN,English,Telegram,2023-09-19 11:35:44
good 💯,lang_en good 💯,lang_en good 💯,good 💯,positive,2,EN,English,Telegram,2023-09-19 11:35:43
So many ristraction in why am band in this,lang_en So many ristraction in why am band in this,lang_en so many ristraction in why am band in this,So many ristraction in why am band in this,negative,0,EN,English,Telegram,2023-09-19 11:30:38
I like it,lang_en I like it,lang_en i like it,I like it,positive,2,EN,English,Telegram,2023-09-19 11:25:39
Superb,lang_en Superb,lang_en superb,Superb,positive,2,EN,English,Telegram,2023-09-19 11:23:14
good,lang_en good,lang_en good,good,positive,2,EN,English,Telegram,2023-09-19 11:21:36
💖💖,lang_en 💖💖,lang_en 💖💖,💖💖,positive,2,EN,English,Telegram,2023-09-19 11:16:04
"When I send a photo in view once mode, why that photo is saved in my telegram sent folder..? It's shoown in our public telegram sent folder of gallery, which is disgusting... The photos or videos sent in view once mode shouldn't be saved & shown in our public gallery or library...😏","lang_en When I send a photo in view once mode, why that photo is saved in my telegram sent folder..? It's shoown in our public telegram sent folder of gallery, which is disgusting... The photos or videos sent in view once mode shouldn't be saved & shown in our public gallery or library...😏","lang_en when i send a photo in view once mode, why that photo is saved in my telegram sent folder..? it's shoown in our public telegram sent folder of gallery, which is disgusting... the photos or videos sent in view once mode shouldn't be saved & shown in our public gallery or library...😏","When I send a photo in view once mode, why that photo is saved in my telegram sent folder..? It's shoown in our public telegram sent folder of gallery, which is disgusting... The photos or videos sent in view once mode shouldn't be saved & shown in our public gallery or library...😏",negative,0,EN,English,Telegram,2023-09-19 11:14:32
My phone doesn't receive the OTP code 😢,lang_en My phone doesn't receive the OTP code 😢,lang_en my phone doesn't receive the otp code 😢,My phone doesn't receive the OTP code 😢,positive,2,EN,English,Telegram,2023-09-19 11:13:34
Telegram is a God!,lang_en Telegram is a God!,lang_en telegram is a god!,Telegram is a God!,positive,2,EN,English,Telegram,2023-09-19 11:11:09
Unable to go back to previous messages after 3 months.,lang_en Unable to go back to previous messages after 3 months.,lang_en unable to go back to previous messages after 3 months.,Unable to go back to previous messages after 3 months.,negative,0,EN,English,Telegram,2023-09-19 11:06:35
Nice 👍👍,lang_en Nice 👍👍,lang_en nice 👍👍,Nice 👍👍,positive,2,EN,English,Telegram,2023-09-19 11:03:27
"What a future Justin, 3yeaed","lang_en What a future Justin, 3yeaed","lang_en what a future justin, 3yeaed","What a future Justin, 3yeaed",positive,2,EN,English,Telegram,2023-09-19 11:02:12
"The best program for messaging as well as the best program for personal conversations of any kind of purpose, very high security for users I have been using this platform for 8 years And I will not replace this program with anything I'm a Iranian.","lang_en The best program for messaging as well as the best program for personal conversations of any kind of purpose, very high security for users I have been using this platform for 8 years And I will not replace this program with anything I'm a Iranian.","lang_en the best program for messaging as well as the best program for personal conversations of any kind of purpose, very high security for users i have been using this platform for 8 years and i will not replace this program with anything i'm a iranian.","The best program for messaging as well as the best program for personal conversations of any kind of purpose, very high security for users I have been using this platform for 8 years And I will not replace this program with anything I'm a Iranian.",positive,2,EN,English,Telegram,2023-09-19 11:00:07
It's the best of social media app,lang_en It's the best of social media app,lang_en it's the best of social media app,It's the best of social media app,positive,2,EN,English,Telegram,2023-09-19 10:58:32
Very understandable and easy to operate,lang_en Very understandable and easy to operate,lang_en very understandable and easy to operate,Very understandable and easy to operate,positive,2,EN,English,Telegram,2023-09-19 10:58:08
Good,lang_en Good,lang_en good,Good,positive,2,EN,English,Telegram,2023-09-19 10:51:33
It's great thx,lang_en It's great thx,lang_en it's great thx,It's great thx,positive,2,EN,English,Telegram,2023-09-19 10:51:28
Love you,lang_en Love you,lang_en love you,Love you,positive,2,EN,English,Telegram,2023-09-19 10:51:18
"For unknown reason to me. My telegram account has been banned for 5 days. I mailed, Google and submit my query and DM over the X (Twitter) to @telegramsupport and no response to none of them. My data is very important to me. Which is stuck to this app. Unban my account.","lang_en For unknown reason to me. My telegram account has been banned for 5 days. I mailed, Google and submit my query and DM over the X (Twitter) to @telegramsupport and no response to none of them. My data is very important to me. Which is stuck to this app. Unban my account.","lang_en for unknown reason to me. my telegram account has been banned for 5 days. i mailed, google and submit my query and dm over the x (twitter) to @telegramsupport and no response to none of them. my data is very important to me. which is stuck to this app. unban my account.","For unknown reason to me. My telegram account has been banned for 5 days. I mailed, Google and submit my query and DM over the X (Twitter) to @telegramsupport and no response to none of them. My data is very important to me. Which is stuck to this app. Unban my account.",negative,0,EN,English,Telegram,2023-09-19 10:50:33
ir is smart application.,lang_en ir is smart application.,lang_en ir is smart application.,ir is smart application.,positive,2,EN,English,Telegram,2023-09-19 10:47:47
"Love it ,it's very private, no one can read what you have written.","lang_en Love it ,it's very private, no one can read what you have written.","lang_en love it ,it's very private, no one can read what you have written.","Love it ,it's very private, no one can read what you have written.",positive,2,EN,English,Telegram,2023-09-19 10:42:31
Nice,lang_en Nice,lang_en nice,Nice,positive,2,EN,English,Telegram,2023-09-19 10:41:07
"Telegram is slow, heavy and inefficient. Telegram X is a lot better than this one.","lang_en Telegram is slow, heavy and inefficient. Telegram X is a lot better than this one.","lang_en telegram is slow, heavy and inefficient. telegram x is a lot better than this one.","Telegram is slow, heavy and inefficient. Telegram X is a lot better than this one.",negative,0,EN,English,Telegram,2023-09-19 10:40:49
This app is VERY GOOD for chat.. 🤩🤩,lang_en This app is VERY GOOD for chat.. 🤩🤩,lang_en this app is very good for chat.. 🤩🤩,This app is VERY GOOD for chat.. 🤩🤩,positive,2,EN,English,Telegram,2023-09-19 10:39:12
Download problem,lang_en Download problem,lang_en download problem,Download problem,positive,2,EN,English,Telegram,2023-09-19 10:38:21
Secured,lang_en Secured,lang_en secured,Secured,positive,2,EN,English,Telegram,2023-09-19 10:37:24
My number is banned for reason not known to me. I sent an email to support for unblocking. But no response. How do u resolve this issue?,lang_en My number is banned for reason not known to me. I sent an email to support for unblocking. But no response. How do u resolve this issue?,lang_en my number is banned for reason not known to me. i sent an email to support for unblocking. but no response. how do u resolve this issue?,My number is banned for reason not known to me. I sent an email to support for unblocking. But no response. How do u resolve this issue?,negative,0,EN,English,Telegram,2023-09-19 10:37:23
"There is a problem in the download section, it is not possible to download more than 2 files at the same time and other files are canceled (on Android 13).","lang_en There is a problem in the download section, it is not possible to download more than 2 files at the same time and other files are canceled (on Android 13).","lang_en there is a problem in the download section, it is not possible to download more than 2 files at the same time and other files are canceled (on android 13).","There is a problem in the download section, it is not possible to download more than 2 files at the same time and other files are canceled (on Android 13).",positive,2,EN,English,Telegram,2023-09-19 10:36:35
aplikasi tololl download lama padahal pake wifibuka apk laen cepet download vd di tele lama goblog,lang_en aplikasi tololl download lama padahal pake wifibuka apk laen cepet download vd di tele lama goblog,lang_en aplikasi tololl download lama padahal pake wifibuka apk laen cepet download vd di tele lama goblog,aplikasi tololl download lama padahal pake wifibuka apk laen cepet download vd di tele lama goblog,negative,0,EN,English,Telegram,2023-09-19 10:33:41
Lot's of scammers.....,lang_en Lot's of scammers.....,lang_en lot's of scammers.....,Lot's of scammers.....,neutral,1,EN,English,Telegram,2023-09-19 10:33:20
"No flahs at front camera, quality is bad, can't find usere or groups. Not intuitive app. On ios works much better.","lang_en No flahs at front camera, quality is bad, can't find usere or groups. Not intuitive app. On ios works much better.","lang_en no flahs at front camera, quality is bad, can't find usere or groups. not intuitive app. on ios works much better.","No flahs at front camera, quality is bad, can't find usere or groups. Not intuitive app. On ios works much better.",negative,0,EN,English,Telegram,2023-09-19 10:27:29
Very useful,lang_en Very useful,lang_en very useful,Very useful,positive,2,EN,English,Telegram,2023-09-19 10:22:03
𝗡𝗶𝗰𝗲 😘,lang_en 𝗡𝗶𝗰𝗲 😘,lang_en nice 😘,Nice 😘,positive,2,EN,English,Telegram,2023-09-19 10:20:13
It's fantastic,lang_en It's fantastic,lang_en it's fantastic,It's fantastic,negative,0,EN,English,Telegram,2023-09-19 10:16:14
Why it's not opening every time it's showing me internal error we can't send sms 😭,lang_en Why it's not opening every time it's showing me internal error we can't send sms 😭,lang_en why it's not opening every time it's showing me internal error we can't send sms 😭,Why it's not opening every time it's showing me internal error we can't send sms 😭,negative,0,EN,English,Telegram,2023-09-19 10:14:54
Super,lang_en Super,lang_en super,Super,positive,2,EN,English,Telegram,2023-09-19 10:13:58
Guig,lang_en Guig,lang_en guig,Guig,negative,0,EN,English,Telegram,2023-09-19 10:13:16
we need a feature to translate text on images. Both for chat and Status. Since we can't take screenshots of some users status to translate using Google lens and we also can't read it since it is in a different language.,lang_en we need a feature to translate text on images. Both for chat and Status. Since we can't take screenshots of some users status to translate using Google lens and we also can't read it since it is in a different language.,lang_en we need a feature to translate text on images. both for chat and status. since we can't take screenshots of some users status to translate using google lens and we also can't read it since it is in a different language.,we need a feature to translate text on images. Both for chat and Status. Since we can't take screenshots of some users status to translate using Google lens and we also can't read it since it is in a different language.,negative,0,EN,English,Telegram,2023-09-19 10:12:35
Very good,lang_en Very good,lang_en very good,Very good,positive,2,EN,English,Telegram,2023-09-19 10:00:31
"Why is the people nearby feature not working anymore, with all the requirements in order ?","lang_en Why is the people nearby feature not working anymore, with all the requirements in order ?","lang_en why is the people nearby feature not working anymore, with all the requirements in order ?","Why is the people nearby feature not working anymore, with all the requirements in order ?",neutral,1,EN,English,Telegram,2023-09-19 09:56:03
Very useful application,lang_en Very useful application,lang_en very useful application,Very useful application,positive,2,EN,English,Telegram,2023-09-19 09:54:19
Very usefull,lang_en Very usefull,lang_en very usefull,Very usefull,positive,2,EN,English,Telegram,2023-09-19 09:53:54
The Best,lang_en The Best,lang_en the best,The Best,negative,0,EN,English,Telegram,2023-09-19 09:53:49
Good,lang_en Good,lang_en good,Good,positive,2,EN,English,Telegram,2023-09-19 09:49:15
Super,lang_en Super,lang_en super,Super,positive,2,EN,English,Telegram,2023-09-19 09:48:08
They want me to be paying every month,lang_en They want me to be paying every month,lang_en they want me to be paying every month,They want me to be paying every month,negative,0,EN,English,Telegram,2023-09-19 09:40:25
Rohit is king of Bolton,lang_en Rohit is king of Bolton,lang_en rohit is king of bolton,Rohit is king of Bolton,positive,2,EN,English,Telegram,2023-09-19 09:33:18
Good,lang_en Good,lang_en good,Good,positive,2,EN,English,Telegram,2023-09-19 09:32:30
Good application,lang_en Good application,lang_en good application,Good application,positive,2,EN,English,Telegram,2023-09-19 09:26:43
Telegram gmail login problem,lang_en Telegram gmail login problem,lang_en telegram gmail login problem,Telegram gmail login problem,negative,0,EN,English,Telegram,2023-09-19 09:22:37
its an awesome app but you have to make new groups be see easly,lang_en its an awesome app but you have to make new groups be see easly,lang_en its an awesome app but you have to make new groups be see easly,its an awesome app but you have to make new groups be see easly,neutral,1,EN,English,Telegram,2023-09-19 09:16:28
"Strongly recommend this app. Contains every each feature, accessible to us.","lang_en Strongly recommend this app. Contains every each feature, accessible to us.","lang_en strongly recommend this app. contains every each feature, accessible to us.","Strongly recommend this app. Contains every each feature, accessible to us.",positive,2,EN,English,Telegram,2023-09-19 09:04:20
